,method,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
0,bound_means,,"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]",,,,,,
1,bound_means_iterations,,"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]","[BRCA1, EGFR, PIK3R1, PTEN, TP53]",,,,,
2,bound_means_iterations_optimized,,"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]","[BRCA1, EGFR, PIK3R1, PTEN, TP53]",,,,,
3,bound_means_optimized,,"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]",,,,,,
4,bound_min,[PTEN],"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]",,,,,,
5,bound_min_migliorato,[PTEN],"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]",,,,,,
6,bound_min_migliorato_iterations,[PTEN],"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]",,,,,,
7,bound_min_migliorato_iterations_optimized,[PTEN],"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]","[BRCA1, EGFR, PIK3R1, PTEN, TP53]",,,,,
8,bound_min_migliorato_optimized,[PTEN],"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]",,,,,,
9,bound_order,[PTEN],"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]","[BRCA1, EGFR, PIK3R1, PTEN, TP53]",,,,,
10,bound_order_improved_iterations_percentiles,,"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]","[BRCA1, EGFR, PIK3R1, PTEN, TP53]",,"[BRCA1, EGFR, PIK3CA, PIK3R1, PTEN, RB1, TP53]",,,
11,bound_order_optimized,[PTEN],"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]","[BRCA1, EGFR, PIK3R1, PTEN, TP53]","[DDX5, EGFR, PIK3CA, PIK3R1, PTEN, TP53]",,,,
12,det_LevelsVec,[2622],"[2622, 6278]","[2622, 6273, 6278]","[2622, 6780, 6793, 8821]",,,,,,
13,det_numpy,[2622],"[2622, 6278]","[2622, 6273, 6278]","[2622, 6780, 6793, 8821]",,,,,,
14,det_old,[2622],"[2622, 6278]","[2622, 6273, 6278]",,,,,,,
15,noboundLevelsVec,[PTEN],"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]",,,,,,
16,noboundMatrix,[PTEN],"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]",,,,,,
17,nobound_migliorato,[PTEN],"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]","[BRCA1, EGFR, PIK3R1, PTEN, TP53]",,,,,
18,oldVersion,[PTEN],"[PTEN, TP53]","[PTEN, RB1CC1, TP53]",,,,,,,
19,oldVersion2,[PTEN],"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]",,,,,,
